               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.027774,            0.011113,           0.0031276,             0.92351,             0.95938,             0.97251,              0.6774,            0.025536,              0.0039,           0.0015703,            0.006667,            0.006667,            0.006667
                 103,            0.027912,             0.01113,            0.002737,             0.87861,             0.94889,             0.95683,             0.63285,            0.024836,           0.0038926,           0.0020632,            0.006634,            0.006634,            0.006634
                 104,            0.027624,            0.011416,           0.0027982,             0.95711,             0.92365,             0.95558,             0.69092,            0.025787,           0.0039372,           0.0037348,            0.006601,            0.006601,            0.006601
                 105,            0.027613,            0.010967,           0.0032565,             0.90373,             0.96554,             0.97465,             0.68211,            0.026077,           0.0039369,           0.0018107,            0.006568,            0.006568,            0.006568
                 106,            0.028004,             0.01153,           0.0031703,             0.94842,             0.88497,             0.95006,             0.68723,            0.025848,           0.0039689,           0.0040537,            0.006535,            0.006535,            0.006535
                 107,             0.02772,            0.011043,           0.0029828,             0.96754,             0.88413,             0.95068,             0.74154,            0.024953,           0.0040435,           0.0020037,            0.006502,            0.006502,            0.006502
                 108,            0.027255,            0.011147,           0.0025907,             0.73123,              0.9519,             0.95571,             0.70259,            0.024515,           0.0040137,            0.003415,            0.006469,            0.006469,            0.006469
                 109,            0.027343,            0.011431,           0.0030459,             0.89934,             0.92014,             0.96202,             0.71719,            0.025993,           0.0041641,           0.0033807,            0.006436,            0.006436,            0.006436
                 110,            0.027767,            0.011443,           0.0027982,              0.7214,             0.89852,             0.78751,             0.55585,            0.027207,           0.0041463,           0.0061867,            0.006403,            0.006403,            0.006403
                 111,            0.027411,            0.011278,            0.003598,             0.71765,             0.90751,             0.83327,             0.61885,            0.024853,           0.0039774,           0.0029179,             0.00637,             0.00637,             0.00637
                 112,            0.027182,             0.01131,           0.0029104,             0.75393,             0.92152,             0.79159,             0.56239,            0.025054,            0.004156,           0.0024268,            0.006337,            0.006337,            0.006337
                 113,            0.027326,            0.011189,           0.0029547,             0.83694,              0.8931,             0.82313,             0.58016,            0.024254,           0.0039667,           0.0046811,            0.006304,            0.006304,            0.006304
                 114,            0.027109,            0.011173,           0.0028048,             0.98102,              0.6883,              0.9654,             0.62462,            0.025712,            0.003999,           0.0022526,            0.006271,            0.006271,            0.006271
                 115,            0.026933,            0.010952,           0.0026448,             0.97671,             0.91261,             0.96151,             0.72482,            0.024127,           0.0040225,           0.0013215,            0.006238,            0.006238,            0.006238
                 116,            0.026505,            0.010956,            0.002737,             0.84049,             0.87607,             0.83653,             0.62101,            0.024819,            0.004116,           0.0022257,            0.006205,            0.006205,            0.006205
                 117,            0.026744,            0.011239,           0.0028515,             0.81361,             0.95457,             0.96663,             0.58878,             0.02447,           0.0040394,           0.0018591,            0.006172,            0.006172,            0.006172
                 118,            0.026839,            0.011025,           0.0025876,             0.75777,             0.92048,             0.93848,             0.65443,            0.024784,           0.0041289,            0.002914,            0.006139,            0.006139,            0.006139
                 119,            0.027237,            0.011073,           0.0030474,             0.68022,             0.89269,              0.7657,             0.55003,            0.023466,           0.0040113,           0.0065402,            0.006106,            0.006106,            0.006106
                 120,            0.027078,            0.011062,           0.0028988,             0.93787,             0.88539,             0.94301,             0.66269,            0.025857,           0.0040661,           0.0021365,            0.006073,            0.006073,            0.006073
                 121,            0.026628,            0.010966,           0.0027257,              0.9227,             0.92496,             0.95726,             0.71664,            0.025343,           0.0039653,           0.0037397,             0.00604,             0.00604,             0.00604
                 122,            0.026405,            0.010885,           0.0028651,             0.80327,             0.92599,             0.95253,             0.68064,             0.02534,           0.0041387,           0.0029663,            0.006007,            0.006007,            0.006007
                 123,            0.026938,            0.010914,           0.0027217,             0.80168,             0.94228,             0.96692,             0.67023,            0.025076,           0.0041111,           0.0018955,            0.005974,            0.005974,            0.005974
                 124,            0.026532,             0.01114,           0.0030567,              0.9615,             0.93008,             0.96572,             0.72712,            0.024803,           0.0039983,           0.0021201,            0.005941,            0.005941,            0.005941
                 125,            0.026784,            0.011255,           0.0029198,             0.92113,             0.88952,             0.96627,             0.71076,            0.023861,           0.0040639,           0.0026131,            0.005908,            0.005908,            0.005908
                 126,            0.026434,             0.01095,           0.0027325,              0.9724,             0.90111,             0.96702,             0.70072,            0.024463,           0.0040224,           0.0018123,            0.005875,            0.005875,            0.005875
                 127,            0.025976,             0.01079,           0.0025817,             0.96607,             0.89057,             0.97154,             0.67044,            0.024319,           0.0041351,           0.0017244,            0.005842,            0.005842,            0.005842
                 128,            0.026062,             0.01079,           0.0027894,             0.95197,             0.91066,             0.96311,             0.70357,            0.024209,           0.0042033,           0.0018322,            0.005809,            0.005809,            0.005809
                 129,            0.026628,            0.010936,           0.0027647,             0.82331,             0.94158,             0.96616,             0.67283,            0.024879,           0.0041639,           0.0020497,            0.005776,            0.005776,            0.005776
                 130,            0.026766,            0.011098,           0.0024945,             0.97447,             0.92569,             0.95531,             0.73757,            0.024699,           0.0040782,           0.0019354,            0.005743,            0.005743,            0.005743
                 131,            0.026173,            0.010867,           0.0025736,             0.95563,             0.88101,             0.95506,             0.74388,            0.025079,           0.0042223,           0.0018682,             0.00571,             0.00571,             0.00571
                 132,            0.026136,             0.01117,           0.0023007,             0.93766,             0.92235,             0.96591,             0.72783,            0.024236,           0.0041936,           0.0020558,            0.005677,            0.005677,            0.005677
